transaction_amount,transaction_amount_bin,avg_amount_deviation_sigma,merchant_category,merchant_risk_score,merchant_category_vs_history,geo_velocity_kmh,geo_velocity_bin,geo_distance_km,geo_distance_bin,merchant_location,country_consistency,ip_address_type,device_fingerprint_match,session_duration_sec,session_duration_bin,network_carrier_type,cards_on_device_30d,cvv_match_status,three_ds_auth_result,tokenization_used,failed_attempts_before_success,transaction_velocity_1h,time_of_transaction,account_credential_change_recency,card_present_cnp,order_shipping_speed,account_age_days,chargeback_history_count,customer_id,transaction_id,segment,customer_type,is_fraud
11.51,low,1.18,restaurant,medium_risk,frequent_category,29.9,normal,3.0,same_location,same_country,same_country,residential,known_device,105.7,normal,mobile_data,1,cvv2_match,frictionless_pass,issuer_token,0,2x_baseline,morning_6_12,no_recent_change,contactless,standard,52,0,CUST_C_0157759,TXN_44_0147216,C_new,customer_based,0
73.46,medium,0.33,healthcare,low_risk,frequent_category,0.3,normal,2.6,same_location,home_city,frequent_travel_country,residential,known_device,41.9,normal,mobile_data,1,cvv2_match,not_enrolled,raw_pan_online,0,within_normal,evening_18_24,no_recent_change,cnp_online,same_day,600,0,CUST_B_0069260,TXN_34_0189844,B_regular,customer_based,0
66.99,medium,0.49,healthcare,low_risk,rare_category,11.3,normal,1.3,same_location,home_city,same_country,residential,known_device,206.5,slow,wifi,2,icvv_match,frictionless_pass,raw_pan_online,0,within_normal,evening_18_24,no_recent_change,card_present_swipe,expedited,1149,0,CUST_A_0039266,TXN_9_0079713,A_established,customer_based,0
29.43,low,1.08,utility,low_risk,frequent_category,1.0,normal,1.4,same_location,home_city,same_country,residential,known_device,34.2,normal,wifi,2,cvv2_match,challenge_pass,issuer_token,0,within_normal,evening_18_24,no_recent_change,card_present_chip,expedited,458,0,CUST_B_0108556,TXN_33_0146119,B_regular,customer_based,0
168.59,medium,2.57,travel,high_risk,rare_category,4.1,normal,2.1,same_location,same_country,frequent_travel_country,vpn,known_device,285.8,slow,corporate_vpn,2,cvv2_match,challenge_pass,network_token_wallet,0,burst_pattern,evening_18_24,no_recent_change,cnp_moto,standard,413,0,CUST_B_0038806,TXN_30_0073668,B_regular,customer_based,0
7.84,low,0.78,travel,high_risk,frequent_category,4.6,normal,0.6,same_location,home_city,same_country,residential,known_device,285.0,slow,mobile_data,1,not_provided,not_enrolled,emv_chip_token,0,within_normal,late_night_0_5,no_recent_change,cnp_online,standard,110,0,CUST_C_0053050,TXN_50_0119652,C_new,customer_based,0
101.77,medium,0.34,travel,high_risk,frequent_category,1.4,normal,1.6,same_location,home_city,high_risk_country,residential,known_device,34.1,normal,mobile_data,2,cvv2_match,bypassed,raw_pan_online,0,burst_pattern,afternoon_12_18,no_recent_change,contactless,expedited,1395,0,CUST_A_0101354,TXN_3_0038313,A_established,customer_based,1
1008.15,high,10.0,crypto_giftcard,very_high_risk,never_before_category,82.4,fast,465.2,short,foreign_far,high_risk_country,residential,emulator,7.5,very_fast,datacenter_hosting,14,cvv2_mismatch,bypassed,raw_pan_manual_entry,6,burst_pattern,late_night_0_5,changed_within_24h,cnp_moto,same_day,128,0,CUST_C_0098654,TXN_43_0059242,C_new,customer_based,1
42.45,low,3.31,retail,medium_risk,frequent_category,3.9,normal,7.9,same_location,home_city,same_country,residential,known_device,116.3,normal,corporate_vpn,1,icvv_match,challenge_pass,emv_chip_token,0,within_normal,afternoon_12_18,changed_1_7d_ago,cnp_online,expedited,23,0,CUST_C_0173436,TXN_52_0029925,C_new,customer_based,0
235.08,medium,7.74,crypto_giftcard,very_high_risk,frequent_category,1034.5,impossible,3768.8,long,neighboring_country,high_risk_country,datacenter,spoofed,4.6,bot_speed,mobile_data,11,cvv2_mismatch,bypassed,raw_pan_manual_entry,0,5x_baseline,evening_18_24,changed_7_30d_ago,cnp_online,overnight,2796,0,CUST_A_0062309,TXN_11_0028651,A_established,customer_based,1
4.78,low,1.55,luxury,very_high_risk,never_before_category,3.8,normal,27.4,same_location,foreign_far,frequent_travel_country,tor,spoofed,2.2,bot_speed,datacenter_hosting,5,icvv_match,challenge_pass,raw_pan_manual_entry,10,5x_baseline,evening_18_24,changed_1_7d_ago,cnp_online,overnight,251,0,CUST_B_0124555,TXN_29_0224227,B_regular,customer_based,1
56.94,medium,0.63,healthcare,low_risk,frequent_category,3.8,normal,10.9,same_location,home_city,same_country,residential,known_device,484.5,slow,mobile_data,2,cvv2_match,frictionless_pass,raw_pan_online,0,within_normal,morning_6_12,no_recent_change,cnp_online,standard,52,2,CUST_C_0034594,TXN_49_0238535,C_new,customer_based,0
242.79,medium,10.0,crypto_giftcard,very_high_risk,never_before_category,30.9,normal,53.2,short,foreign_far,new_country,tor,spoofed,1.9,bot_speed,mobile_data,8,cvv2_mismatch,challenge_fail,raw_pan_online,2,burst_pattern,evening_18_24,changed_7_30d_ago,contactless,overnight,156,0,CUST_C_0081830,TXN_45_0245569,C_new,customer_based,1
326.4,medium,10.0,crypto_giftcard,very_high_risk,never_before_category,46.5,normal,41.2,same_location,foreign_far,new_country,datacenter,spoofed,1.1,bot_speed,corporate_vpn,2,not_provided,challenge_fail,raw_pan_online,3,5x_baseline,evening_18_24,changed_within_24h,cnp_online,overnight,87,0,CUST_C_0197199,TXN_47_0177882,C_new,customer_based,1
310.48,medium,1.03,travel,high_risk,frequent_category,44.3,normal,2.1,same_location,home_city,same_country,residential,new_device,55.5,normal,wifi,2,cvv2_match,frictionless_pass,issuer_token,0,within_normal,evening_18_24,no_recent_change,card_present_swipe,standard,718,1,CUST_B_0121212,TXN_31_0029057,B_regular,customer_based,0
11.62,low,1.89,electronics,high_risk,never_before_category,368.5,fast,25.0,same_location,foreign_far,frequent_travel_country,tor,spoofed,4.7,bot_speed,wifi,15,not_provided,challenge_fail,raw_pan_manual_entry,3,burst_pattern,late_night_0_5,changed_within_24h,cnp_online,same_day,124,0,CUST_C_0000234,TXN_48_0041791,C_new,customer_based,1
1304.12,high,10.0,crypto_giftcard,very_high_risk,occasional_category,1278.2,impossible,5836.7,long,foreign_far,new_country,tor,emulator,3.0,bot_speed,datacenter_hosting,13,cvv2_mismatch,bypassed,raw_pan_manual_entry,6,burst_pattern,evening_18_24,changed_within_24h,cnp_online,same_day,1957,0,CUST_A_0096729,TXN_0_0209135,A_established,customer_based,1
90.56,medium,0.11,restaurant,medium_risk,no_history,23.9,normal,2.9,same_location,home_city,same_country,residential,new_device,219.1,slow,mobile_data,1,icvv_match,frictionless_pass,raw_pan_manual_entry,1,within_normal,evening_18_24,not_applicable,card_present_chip,expedited,0,0,GUEST_54_168439,TXN_54_0168439,D_guest,global,0
49.94,low,0.1,grocery,low_risk,frequent_category,6.5,normal,31.3,same_location,neighboring_country,new_country,residential,new_device,59.5,normal,corporate_vpn,2,cvv2_match,frictionless_pass,emv_chip_token,1,within_normal,evening_18_24,no_recent_change,card_present_swipe,standard,155,0,CUST_C_0028955,TXN_44_0003936,C_new,customer_based,0
2411.75,very_high,10.0,electronics,high_risk,no_history,1228.4,impossible,5674.3,long,foreign_far,high_risk_country,datacenter,spoofed,0.8,bot_speed,wifi,15,cvv2_mismatch,challenge_fail,raw_pan_online,0,5x_baseline,evening_18_24,not_applicable,manual_entry,same_day,0,0,GUEST_59_204195,TXN_59_0204195,D_guest,global,1
443.19,medium,0.71,crypto_giftcard,very_high_risk,no_history,0.1,normal,1.1,same_location,same_country,same_country,vpn,new_device,81.0,normal,wifi,2,cvv2_match,bypassed,raw_pan_manual_entry,3,within_normal,afternoon_12_18,not_applicable,card_present_chip,expedited,0,0,GUEST_55_162012,TXN_55_0162012,D_guest,global,0
